Kachelname_img,Aktualitaet_img,coords,Kachelname_pc,Aktualitaet_pc,diff
dop10rgbi_32_375_5624_1_nw_2021,2021-06-01,"(375, 5624)",3dm_32_375_5624_1_nw,2022-01-01,214 days
dop10rgbi_32_384_5626_1_nw_2021,2021-06-01,"(384, 5626)",3dm_32_384_5626_1_nw,2022-01-01,214 days
dop10rgbi_32_352_5604_1_nw_2021,2021-05-01,"(352, 5604)",3dm_32_352_5604_1_nw,2021-12-01,214 days
dop10rgbi_32_353_5605_1_nw_2021,2021-05-01,"(353, 5605)",3dm_32_353_5605_1_nw,2021-12-01,214 days
dop10rgbi_32_379_5611_1_nw_2021,2021-05-01,"(379, 5611)",3dm_32_379_5611_1_nw,2021-12-01,214 days
dop10rgbi_32_382_5635_1_nw_2021,2021-06-01,"(382, 5635)",3dm_32_382_5635_1_nw,2022-01-01,214 days
dop10rgbi_32_383_5625_1_nw_2021,2021-06-01,"(383, 5625)",3dm_32_383_5625_1_nw,2022-01-01,214 days
dop10rgbi_32_348_5638_1_nw_2021,2021-06-01,"(348, 5638)",3dm_32_348_5638_1_nw,2022-01-01,214 days
dop10rgbi_32_379_5633_1_nw_2021,2021-06-01,"(379, 5633)",3dm_32_379_5633_1_nw,2022-01-01,214 days
dop10rgbi_32_400_5625_1_nw_2021,2021-06-01,"(400, 5625)",3dm_32_400_5625_1_nw,2022-01-01,214 days
dop10rgbi_32_374_5612_1_nw_2021,2021-05-01,"(374, 5612)",3dm_32_374_5612_1_nw,2021-12-01,214 days
dop10rgbi_32_368_5641_1_nw_2021,2021-06-01,"(368, 5641)",3dm_32_368_5641_1_nw,2022-01-01,214 days
dop10rgbi_32_351_5641_1_nw_2021,2021-06-01,"(351, 5641)",3dm_32_351_5641_1_nw,2022-01-01,214 days
dop10rgbi_32_352_5606_1_nw_2021,2021-05-01,"(352, 5606)",3dm_32_352_5606_1_nw,2021-12-01,214 days
dop10rgbi_32_368_5635_1_nw_2021,2021-06-01,"(368, 5635)",3dm_32_368_5635_1_nw,2022-01-01,214 days
