Kachelname,Erfassungsmethode,Aktualitaet,Bildflugnummer,Kamera_Sensor,Bodenpixelgroesse,Spektralkanaele,Koordinatenreferenzsystem_Lage,Koordinatenreferenzsystem_Hoehe,Bezugsflaeche,Koordinatenursprung_East,Koordinatenursprung_North,Anzahl_Spalten,Anzahl_Zeilen,Farbtiefe,Standardabweichung,Dateiformat,Hintergrund,Quelldatenqualitaet,Kompression,Komprimierung,Belaubungszustand,Bemerkungen
dop10rgbi_32_425_5800_1_nw_2022,0,2022-02-28,1377/22 Greven Ibbenbüren,UCEM3-431S41091X314298-f100_UCE-M3,10,RGBI,25832,7837,bDOM,425000,5800000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
dop10rgbi_32_472_5689_1_nw_2021,0,2021-06-14,1360/21 Hochsauerlandkreis,UCEM3-1-82416042_UCE-M3,10,RGBI,25832,7837,bDOM,472000,5689000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
dop10rgbi_32_384_5628_1_nw_2021,0,2021-06-01,1362/21,DMCIII-27514_DMCIII,10,RGBI,25832,7837,bDOM,384000,5628000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",3,keine
dop10rgbi_32_319_5728_1_nw_2022,0,2022-07-02,1383/22 RVR West,UrbanMapper2-12-0101_UrbanMapper2,10,RGBI,25832,7837,bDOM,319000,5728000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",3,keine
dop10rgbi_32_449_5667_1_nw_2021,0,2021-06-14,1359/21 Iserlohn Attendorn,UCEM3-431S71678X_UCE-M3,10,RGBI,25832,7837,bDOM,449000,5667000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",3,keine
dop10rgbi_32_356_5730_1_nw_2020,0,2020-03-23,1333/20 Wesel Marl,UCEp-1-31011051_UCEp,10,RGBI,25832,7837,bDOM,356000,5730000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
dop10rgbi_32_334_5697_1_nw_2020,0,2020-03-24,1334/20 Duisburg Herne,UCEM3-431S51194X_UCE-M3,10,RGBI,25832,7837,bDOM,334000,5697000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
dop10rgbi_32_389_5787_1_nw_2022,0,2022-02-23,1376/22 Ahaus Rheine,UCEM3-431S41091X314298-f100_UCE-M3,10,RGBI,25832,7837,bDOM,389000,5787000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
dop10rgbi_32_371_5753_1_nw_2022,0,2022-02-27,1378/22 Bocholt Coesfeld,UCEp-1-31011051-f100_UCEp,10,RGBI,25832,7837,bDOM,371000,5753000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
dop10rgbi_32_303_5619_1_nw_2021,0,2021-03-07,1356/21 Aachen Kronenburg,UCEM3-1-82416042_UCE-M3,10,RGBI,25832,7837,bDOM,303000,5619000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
dop10rgbi_32_322_5596_1_nw_2021,0,2021-02-25,1357/21 Euskirchen Blankenheim,DMCIII-27532_DMCIII,10,RGBI,25832,7837,bDOM,322000,5596000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
dop10rgbi_32_327_5711_1_nw_2020,0,2020-03-23,1334/20 Duisburg Herne,UCEM3-431S51194X_UCE-M3,10,RGBI,25832,7837,bDOM,327000,5711000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
dop10rgbi_32_314_5705_1_nw_2022,0,2022-06-15,1382/22 Kleve,UCEM3-431S61680X916102-f100_UCE-M3,10,RGBI,25832,7837,bDOM,314000,5705000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",3,keine
dop10rgbi_32_298_5751_1_nw_2022,0,2022-06-15,1382/22 Kleve,UCEM3-431S61680X916102-f100_UCE-M3,10,RGBI,25832,7837,bDOM,298000,5751000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",3,keine
dop10rgbi_32_489_5702_1_nw_2021,0,2021-06-14,1360/21 Hochsauerlandkreis,UCEM3-1-82416042_UCE-M3,10,RGBI,25832,7837,bDOM,489000,5702000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
dop10rgbi_32_361_5753_1_nw_2022,0,2022-02-28,1378/22 Bocholt Coesfeld,UCEp-1-31011051-f100_UCEp,10,RGBI,25832,7837,bDOM,361000,5753000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
dop10rgbi_32_463_5771_1_nw_2020,0,2020-03-23,1336/20 Herford Detmold,UCE-1-00518105_UCE,10,RGBI,25832,7837,bDOM,463000,5771000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
dop10rgbi_32_446_5703_1_nw_2022,0,2022-03-03,1381/22 Soest,UCEM3-431S71678X911005-f100_UCE-M3,10,RGBI,25832,7837,bDOM,446000,5703000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
